Species,Elevation,Body_length,Proboscis_length,Head_diameter,Body_diameter,Weight_dry,Pollen_head,Pollen_thorax,Pollen_legs,Pollen_abdomen
Bombus_jonellus,1181,11.1,5.43,3.645,NA,36.09,1.5,2.5,3,2
Bombus_jonellus,1632,10.87,3.88,3.19,NA,25.9,2,2,3,3
Bombus_jonellus,2283,11.485,3.125,3.26375,NA,35.19,2,2.5,3.375,3.125
Bombus_pascuorum,1181,12.02,6.16,3.8,NA,42.68333333,0,3,3,3
Bombus_pascuorum,1463,#DIV/0!,2.87,4.18,NA,NA,1,2,3,2
Bombus_pascuorum,1632,12.062,4.696,3.66,NA,42.8,8,2.4,3,2.2
Bombus_quadricolor,1463,19.72,3.03,4.575,NA,NA,3,3,3.5,3
Bombus_ruderarius,1181,10.79666667,5.446666667,3.24,NA,NA,1.333333333,2,3,1.666666667
Bombus_ruderarius,1463,#DIV/0!,3.47,4.52,NA,NA,3,3,3,3
Bombus_ruderarius,1632,10.635,2.45,3.285,NA,NA,2,2.5,3,2.5
Bombus_ruderarius,2080,#DIV/0!,3.58,4.47,NA,NA,1,3,3,3
Bombus_ruderarius,2283,12.295,2.5,3.745,NA,NA,2,3,3.5,3
Bombus_rupestris,1463,#DIV/0!,1.51,5.11,NA,NA,3,4,4,4
Bombus_sichelii_or_pyrenaeus,1181,11.26555556,4.556666667,3.385555556,NA,NA,1.5,1.875,3,2
Bombus_sichelii_or_pyrenaeus,1463,11.6,1.91,3.34,NA,NA,2,2,3,2
Bombus_sichelii_or_pyrenaeus,1632,10.32071429,3.410714286,3.042857143,NA,27.75,1.8,2.533333333,3.066666667,2.266666667
Bombus_sichelii_or_pyrenaeus,1860,13.35,1.68,3.43,NA,NA,1,2,3,3
Bombus_sichelii_or_pyrenaeus,2080,22.19,2.125,3.195,NA,NA,1.5,2,3,2
Bombus_sichelii_or_pyrenaeus,2283,11.28875,3.382916667,3.485833333,NA,36.03888889,1.541666667,2.166666667,3,2.541666667
Bombus_soroeensis,1181,11.625,4.706666667,3.431666667,NA,27.492,1.666666667,2.5,3,2.5
Bombus_soroeensis,1632,10.93,3.195,3.32,NA,NA,1,2,3,2.5
Bombus_soroeensis,1860,11.84,1.54,3.11,NA,NA,3,3,3,3
Bombus_soroeensis,2080,#DIV/0!,2.49,4.37,NA,NA,2,3,3,3
Bombus_soroeensis,2283,11.57181818,3.473636364,3.453181818,NA,33.5375,1.909090909,2.454545455,3.181818182,2.772727273
Bombus_sp.,1181,12.066,4.884,3.671,NA,37.475,1.666666667,2.555555556,3.444444444,2.555555556
Bombus_sp.,2283,10.99666667,3.036666667,3.413333333,NA,51.882,1.666666667,3,3,2.666666667
Bombus_subterraneus,1463,15.76,1.96,5.08,NA,NA,3,3,3,3
Bombus_terrestris_group,1181,12.08,3.884,3.759,NA,37.30666667,2.222222222,2.777777778,3.222222222,2.555555556
Bombus_terrestris_group,1463,16.18,1.83,4.67,NA,NA,3,3,3,3
Bombus_terrestris_group,1632,9.68,2.38,2.91,NA,NA,1,2,3,2
Bombus_terrestris_group,2283,12.46166667,3.169444444,3.788888889,NA,50.5175,1.888888889,2.055555556,3,2.333333333
Bombus_wurflenii,1181,12.19,5,3.42,NA,NA,2,2,3,2
Bombus_wurflenii,2283,12.24428571,3.81,3.898571429,NA,55.90666667,1.857142857,2.285714286,3,2.428571429
Botanophila_fugax,1463,5.055,1.315,1.49,NA,NA,1,2.5,2,1
Botanophila_sp.,1181,4.56,1.114285714,1.484285714,NA,NA,0.833333333,2,2.166666667,1
Botanophila_sp.,1463,4.823571429,1.106428571,1.459285714,NA,1.24,0.5,2.214285714,1.928571429,0.857142857
Botanophila_sp.,1632,3.905,1.013333333,1.225,NA,0.81625,0.5,2.2,1.9,1.1
Botanophila_sp.,1860,4.208421053,0.948421053,1.360526316,NA,1.25,0.4,1.8,1.35,0.6
Botanophila_sp.,2080,4.6975,1.31,1.46,NA,NA,0.5,1,1,0.75
Botanophila_sp.,2283,5.132222222,1.336666667,1.596666667,NA,1.32,1.111111111,2.666666667,2.666666667,1.888888889
Botanophila_sp.,2379,5.114,1.422,1.606,NA,NA,0.8,2.6,2.6,1.6
Botanophila_sp.,2587,4.524,1.476,1.522,NA,NA,0.6,2.4,1.6,0.8
Botanophila_striolata,2379,4.4,1.39,1.383333333,NA,NA,0.666666667,2,1,1
Botanophila_varicolor,1181,7.418181818,1.479090909,1.855454545,NA,7.545,1.2,2.5,2.4,1.3
Botanophila_varicolor,1463,7.0675,1.49875,1.725,NA,4.255,1.4375,2.5,2.5625,1.875
Botanophila_varicolor,1632,6.26875,1.480625,1.644375,NA,2.1325,0.714285714,2.214285714,2.357142857,1.214285714
Botanophila_varicolor,1860,6.58125,1.13625,1.68625,NA,3.15,0.75,1.875,1.625,1.375
Botanophila_varicolor,2080,6.3075,1.33,1.7925,NA,NA,1,2,1.75,1.25
Botanophila_varicolor,2283,7.053,1.452,1.679,NA,NA,0.8,2.8,2.6,2
Botanophila_varicolor,2379,6.82,1.34,1.62,NA,NA,1,2,1,0
Botanophila_varicolor,2587,6.38,1.4,1.72,NA,NA,1,2,2,2
Braconidae_sp.,1181,2.04,NA,0.54,NA,NA,0,1,1,1
Braconidae_sp.,1463,2.756666667,NA,0.665,NA,NA,0.333333333,1.166666667,0.5,0.5
Braconidae_sp.,1632,1.84,NA,0.56,NA,NA,0,0,0,1
Braconidae_sp.,1860,#DIV/0!,NA,NA,NA,NA,NA,NA,NA,NA
