Plant_species	Plot	Elevation	Display_size	Flower_diameter	Floral_depth	Petal_width	Petal_length	Stylus_length	Filament_length	Nectar_depth	Nectar_width	Stylus_position	Filament_position	Plant_height	Flower_inclination	Leaf_inclination	Number_leaves	Number_inflorescense	Number_flowers_per_inflo	Leaf_width	Leaf_length	Leaf_thickness	Leaf_Area	Leaf_weight_fresh	Leaf_weight_dry	Succulence	Specific_leaf_weight	Leaf_lobation
Geum_montanum	Hexenkueche	2080	28.65	28.65	12.07	12.01	14.33	4.94	9.64	0	0	4.94	9.64	106	170	160	5	1	1	41.49	60.82	0.5	NA	3.214	1.9666	NA	NA	NA
Geum_montanum	Hexenkueche	2080	23.41	23.41	16.19	13.01	13.91	7.01	10.24	0	0	7.01	10.24	102	125	110	6	1	1	37.48	56.08	0.45	NA	3.702	0.9385	NA	NA	NA
Geum_montanum	Hochmais	1860	30.45	30.45	7.06	15.88	16.44	6.5	5.55	0	0	6.5	5.55	216	150	165	6	1	1	47.87	119.94	0.34	21.91361442	5.767	1.7679	1.824938563	0.806758742	4.115601655
Geum_montanum	Hochmais	1860	33.82	33.82	7.85	13.61	14.97	5.41	7.85	0	0	5.41	7.85	200	155	115	4	1	1	32.85	84.61	0.33	10.75936968	3.324	1.1056	2.061830819	1.027569489	4.057795128
Geum_montanum	Hochmais	1860	28.16	28.16	7.87	14.16	13.16	6.69	7.87	0	0	6.69	7.87	245	130	120	6	1	1	42.18	109.04	0.35	25.90513834	4.05	1.2118	1.095612756	0.467783644	2.788857855
Geum_montanum	Hochmais	1860	29.31	29.31	7.9	13.18	13.64	7.9	2.98	0	0	7.9	2.98	530	160	150	7	1	1	50.24	112.55	0.27	23.47252981	7.192	6.967	0.095856732	2.968150453	3.784034679
Geum_montanum	Hochmais	1860	28.85	28.85	7.99	15.41	15.2	7.72	8.81	0	0	7.72	8.81	306	175	140	4	1	1	65.38	138.99	0.3	33.16446621	9.511	2.3112	2.170938002	0.696890457	4.304030464
Geum_montanum	Hochmais	1860	27.68	27.68	7.99	14.19	13.69	6.54	7.49	0	0	6.54	7.49	260	125	160	4	1	1	55.18	133.76	0.36	15.35820158	7.217	1.9669	3.4184341	1.280683803	7.548966007
Geum_montanum	Hochmais	1860	29.13	29.13	8.8	13.69	13.47	3.9	8.8	0	0	3.9	8.8	85	145	155	4	1	1	32.45	63.95	0.33	8.740204429	2.248	2.1267	0.138783939	2.433238281	3.729525117
Geum_montanum	Hochmais	1860	27.68	27.68	8.84	12.85	13.48	6.77	8.22	0	0	6.77	8.22	152	155	170	4	1	1	36.93	70.91	0.36	NA	3.454	0.9342	NA	NA	NA
