"","Plant_species","Display_size","Flower_diameter","Floral_depth","Petal_width","Petal_length","Stylus_length","Filament_length","Nectar_depth","Nectar_width","Stylus_position","Filament_position","Plant_height","Flower_inclination","Number_inflorescense","Number_flowers_per_inflo","color_s","color_m","color_l","color_lum","(Z)-3-Hexen-1-ol_S","a-Pinene","Benzaldehyde","cis-3-Hexen-ol, Acetate","trans-b-Ocimene","Phenylacetaldehyde","b-Caryophyllene"
"114","1463.2",26.9728571428571,20.3,8.89357142857143,5.23464285714286,11.2371428571429,8.72214285714286,8.7675,0,0,8.72214285714286,8.7675,265.214285714286,162.142857142857,1.82142857142857,1,NA,NA,NA,NA,574183,1185436,0,954333.5,525502.5,0,0
"115","1463.2",27.1592957746479,1.90887323943662,15.5398591549296,1.25,15.7114084507042,12.5267605633803,9.97070422535211,5.35464788732394,0.956619718309859,7.17211267605634,4.61605633802817,221.056338028169,167.154929577465,1.01408450704225,27.1830985915493,NA,NA,NA,NA,0,0,1119011.625,2638288.625,1086832.5,0,7929396.25
"116","1463.2",38.9433333333333,0.911481481481481,2.70518518518519,0.417407407407407,2.71185185185185,2.46888888888889,2.49074074074074,2.1262962962963,0.618148148148148,0.342592592592593,0.364444444444444,294.222222222222,170.740740740741,1.11111111111111,52.4444444444444,NA,NA,NA,NA,684013.666666667,3468944.66666667,0,0,1431679.33333333,0,0
"117","1463.2",21.8485714285714,11.6757142857143,13.0228571428571,8.66214285714286,12.1785714285714,12.7992857142857,12.2107142857143,7.48857142857143,2.67714285714286,5.31071428571429,4.72214285714286,104.928571428571,111.428571428571,1.84615384615385,2.23076923076923,NA,NA,NA,NA,3136774.4,0,0,26210887,0,0,0
"118","1463.2",17.307,7.741,3.553,2.675,3.15,2.875,2.48,3.307,0.887,-0.392727272727273,-0.751818181818182,188.454545454545,141.818181818182,2.36363636363636,3.54545454545455,NA,NA,NA,NA,0,0,14445927.6666667,8555050.33333333,0,35326214,0
"119","1463.2",19.1703571428571,19.1789285714286,8.00821428571428,7.86785714285714,10.6471428571429,6.50535714285714,6.48428571428571,0,0,6.50535714285714,6.48428571428571,138.607142857143,171.964285714286,1.03571428571429,1,NA,NA,NA,NA,0,0,0,466025.5,0,0,0
"120","1463.2",13.7442857142857,1.14571428571429,6.78285714285714,1.14571428571429,6.78285714285714,6.55142857142857,5.30285714285714,2.28857142857143,0.487142857142857,4.26285714285714,3.01428571428571,167,157.142857142857,1,27.7142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","1463.2",40.225,2.749,1.21733333333333,1.02633333333333,1.25066666666667,1.0195,1.96105263157895,0,0,1.0195,1.96105263157895,387.6,164.666666666667,7.56666666666667,56.6,NA,NA,NA,NA,0,0,0,0,0,19875206,0
"122","1463.2",11.2695833333333,3.38333333333333,3.885,1.31958333333333,2.61125,4.9525,7.71833333333333,3.66916666666667,0.745,1.28333333333333,4.04916666666667,293.416666666667,161.666666666667,1.375,16.25,NA,NA,NA,NA,390662.333333333,0,0,643959.333333333,1438808.33333333,0,0
"123","1463.2",21.7307142857143,3.11285714285714,3.21092857142857,0.872142857142857,3.16378571428571,5.67857142857143,11.2878571428571,2.33735714285714,0.892857142857143,3.34121428571429,8.9505,343.642857142857,156.428571428571,1.28571428571429,70.1428571428571,NA,NA,NA,NA,3556438,0,0,6482958.5,0,0,0
"124","1463.2",16.39,16.39,3.57894736842105,8.00631578947368,7.35184210526316,2.54710526315789,4.14078947368421,0,0,2.54710526315789,4.14078947368421,90.8947368421053,153.947368421053,1.44736842105263,1.21052631578947,NA,NA,NA,NA,0,0,0,323734,235669,0,677131
"125","1463.2",9.4062962962963,9.4062962962963,1.48740740740741,4.10351851851852,3.88166666666667,2.51537037037037,2.8587037037037,0,0,2.51537037037037,2.8587037037037,55.7241379310345,147.758620689655,1.1551724137931,1.05172413793103,NA,NA,NA,NA,0,0,0,9904568.5,0,0,0
"126","1463.2",19.4617647058824,4.04258823529412,10.5558823529412,2.77764705882353,9.7,10.3535294117647,9.82882352941176,7.36411764705882,2.51711764705882,2.98941176470588,2.46470588235294,94.5882352941177,135.529411764706,3.58823529411765,1,NA,NA,NA,NA,0,0,0,1306319.83333333,0,0,0
"127","1463.2",16.5276119402985,16.5276119402985,8.07283582089552,8.00268656716418,9.69417910447761,3.73731343283582,4.97492537313433,0,0,3.73731343283582,4.97492537313433,341.727272727273,159.787878787879,2.27272727272727,1.08695652173913,NA,NA,NA,NA,0,0,0,2409277,19041494.3333333,0,0
"128","1463.2",17.643125,17.643125,11.1004166666667,10.9466666666667,12.378125,5.50291666666667,6.525625,0,0,5.50291666666667,6.525625,133.666666666667,159.411764705882,1.11764705882353,1.03921568627451,NA,NA,NA,NA,0,0,0,0,21236454.4,0,0
"129","1463.2",15.55,15.55,5.43,6.82285714285714,8.69428571428571,3.95,4.65714285714286,0,0,3.95,4.65714285714286,216.285714285714,159.285714285714,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","1463.2",20.6976470588235,1.99676470588235,12.6611764705882,1.77058823529412,12.6611764705882,9.55970588235294,8.22705882352941,4.065,0.456764705882353,5.49470588235294,4.16205882352941,193.470588235294,154.117647058824,1.26470588235294,22.1851851851852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","1463.2",38.36,0.885882352941176,14.4705882352941,1.63294117647059,14.4705882352941,11.3911764705882,9.00470588235294,4.53470588235294,0.476470588235294,6.85647058823529,4.47,147,161.764705882353,1,52.1428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","1463.2",14.1988888888889,4.05714285714286,5.93492063492064,1.80396825396825,5.93709677419355,5.61161290322581,6.11524590163934,4.19667741935484,1.32387096774194,1.41493548387097,1.92681967213115,68.1774193548387,137.096774193548,6.7258064516129,1.2741935483871,NA,NA,NA,NA,0,2743942.83333333,0,4118094.41666667,0,0,0
"133","1463.2",17.8246774193548,5.20596774193548,7.62709677419355,3.34177419354839,8.49467741935484,5.04177419354839,5.39274193548387,4.94258064516129,1.6358064516129,0.0991935483870968,0.450161290322581,101.734375,158.875,1,14.609375,NA,NA,NA,NA,0,0,4239109,10114166,0,34346459.6666667,0
