"","Species","Body_length","Proboscis_length","Head_diameter"
"119","1181.1",6.347777778,2.995142857,1.244166667
"120","1181.1",6.347777778,2.995142857,1.244166667
"121","1181.1",6.347777778,2.995142857,1.244166667
"122","1181.1",6.347777778,2.995142857,1.244166667
"123","1181.1",6.347777778,2.995142857,1.244166667
"124","1181.1",12.04,2.983333333,3.876666667
"125","1181.1",12.04,2.983333333,3.876666667
"126","1181.1",3.762631579,1.121052632,1.238947368
"127","1181.1",3.762631579,1.121052632,1.238947368
"128","1181.1",3.762631579,1.121052632,1.238947368
"129","1181.1",3.762631579,1.121052632,1.238947368
"130","1181.1",3.762631579,1.121052632,1.238947368
"131","1181.1",8.132,1.33,2.286
"132","1181.1",8.132,1.33,2.286
"133","1181.1",6.82,1.04,2.22
"134","1181.1",9.54,1.74,2.66
"135","1181.1",8.76,1.935833333,2.678333333
"136","1181.1",8.76,1.935833333,2.678333333
"137","1181.1",8.76,1.935833333,2.678333333
"138","1181.1",3.22,2.05,1.07
"139","1181.1",11.12,1.29,2.49
"140","1181.1",7.168333333,1.21049505,2.037777778
"141","1181.1",7.168333333,1.21049505,2.037777778
"142","1181.1",7.168333333,1.21049505,2.037777778
"143","1181.1",7.168333333,1.21049505,2.037777778
"144","1181.1",7.168333333,1.21049505,2.037777778
"145","1181.1",7.168333333,1.21049505,2.037777778
"146","1181.1",7.168333333,1.21049505,2.037777778
"147","1181.1",7.168333333,1.21049505,2.037777778
"148","1181.1",7.168333333,1.21049505,2.037777778
"149","1181.1",7.168333333,1.21049505,2.037777778
"150","1181.1",7.168333333,1.21049505,2.037777778
"151","1181.1",7.168333333,1.21049505,2.037777778
"152","1181.1",7.168333333,1.21049505,2.037777778
"153","1181.1",7.168333333,1.21049505,2.037777778
"154","1181.1",7.168333333,1.21049505,2.037777778
"155","1181.1",7.168333333,1.21049505,2.037777778
"156","1181.1",7.168333333,1.21049505,2.037777778
"157","1181.1",7.168333333,1.21049505,2.037777778
"158","1181.1",7.168333333,1.21049505,2.037777778
"159","1181.1",7.168333333,1.21049505,2.037777778
"160","1181.1",7.168333333,1.21049505,2.037777778
"161","1181.1",7.168333333,1.21049505,2.037777778
"162","1181.1",7.168333333,1.21049505,2.037777778
