Elevation,Body_length,Proboscis_length,Head_diameter,Pollen_head,Pollen_thorax,Pollen_legs,Pollen_abdomen,Pollen_max
1181.1,2.1202092525,,0.659420138875,0.364236111125,0.7977430555,0.825173611125,0.521875,0.9727430555
1181.1,11.0292857142857,2.044,2.724,1.72222222222222,2.83333333333333,3.16666666666667,2.33333333333333,3.27777777777778
1181.1,10.87,4.26,3.68,2,3,4,3,4
1181.1,4.798632445,1.19995101875,1.293515674,0.347360703875,1.89431818175,1.498203812375,0.587756598125,1.91931818175
1181.1,1.49833333325,0.37,0.43083333325,0,0.08333333325,0.16666666675,0.41666666675,0.41666666675
1181.1,10.269866666,2.2912666666,2.9424666668,1.6333333332,2.2666666668,3.1666666666,2.1,3.1666666666
1181.1,11.47472222,3.7927777775,3.7933333335,2.1666666665,2.666666667,3.25,2.722222222,3.25
1181.1,2.1083035715,1.286875,0.7360714285,0.2589285715,0,0.4017857145,0.125,0.4017857145
1181.1,12.37729553375,3.46310482240541,3.702242473,2.01763094264865,2.49335536840541,3.09297706797297,2.50574080581081,3.22811220310811
1181.1,5.57310536233333,1.30826951372222,1.57275984938889,0.8229387125,2.18167989416667,1.91703042333333,1.20057319222222,2.20234788361111
1181.1,2.18117961770588,0.17875,0.388668605882353,0.248842773117647,0.912704671941176,0.853503359294118,0.791056137941177,1.20852494358824
1181.1,8.1257403508,1.9793052632,2.7276596492,1.4136842106,2.8621052632,2.607017544,2.507368421,2.8936842106
1181.1,1.47875,,0.54375,0,0.125,0.5,0,0.625
1181.1,1.3656428572,,0.3191428572,0.0542857142,0.3657142858,0.1628571428,0.0628571428,0.4057142858
1181.1,1.9595333334,,0.5467666666,0.2666666666,0.15,0.2166666666,0.07,0.3366666666
1181.1,10.0712848195,2.4281030575,3.20022649175,2.038228485875,3.094362745,2.935814951,2.59938385075,3.094362745
1181.1,1.824102912625,0.2,0.640632934625,0.297161172125,0.6116097445,0.485816267125,0.19440195225,0.6116097445
1181.1,6.95429487175,,1.59628205125,0.52083333325,0.60416666675,1.60416666675,1.14583333325,1.6875
1181.1,11.321,2.075,3.789,1.2,3,2.9,1.9,3
1181.1,3.53443030025,0.803592894076923,0.9348779105625,0.4415032679375,1.359232026125,1.393607026125,0.649448529375,1.546732026125
1181.1,2.17,,0.63,0.5,0.5,0.5,0,1
1181.1,3.2731666666,0.4995454545,0.929,0.15,0.5,0.9,0.3166666666,0.9
1181.1,6.235,1.49787878790909,1.64557575754545,1.2183333333,2.5316666666,2.2266666666,1.9233333333,2.6266666666
1181.1,12.306944445,,1.91638888883333,1.11666666666667,1.55,1.87777777783333,1.65,2.1
1181.1,4.595958846625,1.273366639375,0.8478826995,0.85673176625,1.55347453675,1.90391081325,1.174171632375,1.90391081325
1181.1,2.36542857142857,0.88,0.844285714285714,0.271428571428571,0.9,1,0.557142857142857,1.21428571428571
1181.1,1,,0.18,0,0,0,0,0
1181.1,9.37083333325,1.36604166675,2.79083333325,0.95,2.51666666666667,1.73333333333333,1.4,2.51666666666667
1181.1,10.1616155457143,1.40552521014286,2.79350840342857,1.21533613442857,2.70448179271429,2.49229691885714,1.800070028,2.70448179271429
1181.1,12.985483334,3.1452583333,4.5017777778,2.4706432748,3.2653216374,3.0066959064,2.6753216374,3.2816959064
1181.1,10.1331111105,1.44920370366667,3.05414814816667,1.27777777783333,2.962962963,2.58333333333333,1.83333333333333,2.962962963
1181.1,3.80761011916667,,1.27852497666667,0.285515873,0.688281979444445,0.702194211111111,0.624836601333333,0.980345471555556
1181.1,5.53666666666667,1.56,1.62333333333333,0.5,1,1.5,0.5,1.5
1181.1,4.764945616875,,0.922829004375,0.797132034625,1.204085497875,1.191585498,0.61531385275,1.329085497875
1181.1,2.866936508,0.4184814815,0.898111111142857,0.175510204142857,0.0489795918571429,0.295918367285714,0.142857142857143,0.453061224428572
1181.1,7.13579365077778,1.88152777775,1.91367063491667,1.24603174608333,1.85019841275,2.6904761905,1.96428571416667,2.6904761905
1181.1,2.1,,0.61,2,2,3,3,3
1181.1,2.84,,0.88875,0.375,0.5,0.75,0.625,1.125
1181.1,1.58605714284,,0.48695809524,0.13904761904,0.31676190476,0.46780952384,0.1003809524,0.61580952384
1181.1,2.642222222,0.44,0.566,0.444444444,0.111111111,0,0.111111111,0.444444444
1181.1,5.24686111125,2.40561904775,1.08554166675,0.54285714275,0.81428571425,1.5904761905,1.3285714285,1.6404761905
1181.1,7.20418115933333,1.45728787866667,2.488041063,1.11449275366667,2.388405797,2.57850241533333,1.52294686,2.57850241533333
1181.1,7.04323593071429,1.62407936514286,1.97559523814286,1.16847041842857,2.66702741714286,2.55266955271429,1.83152958157143,2.73448773457143
1181.1,7.7580153846,1.4340888888,2.0020820512,1.158095238,2.6692063492,2.5155555556,1.9015873016,2.6892063492
1181.1,7.35,1.43,1.91,2,3,3,2,3
1181.1,5.008494045875,0.9723022765,1.383780892125,0.814408508,2.1101689975,1.95330710975,1.3454545455,2.12058566425
1181.1,12.04,2.983333333,3.876666667,2.333333333,3.333333333,3,3,3.333333333
1181.1,2.12,,0.64,0,0.75,0.75,0.5,0.75
1181.1,4.08781184275,1.14468934125,1.29747595375,0.437801007125,1.804233618625,1.462692662,0.627200538125,1.8568651975
1181.1,1.82378571428571,,0.446642857142857,0.0714285714285714,0.157142857142857,0.402380952428571,0.485714285714286,0.609523809571429
1181.1,8.913,1.84625,2.604,1,2,2.3125,1.0625,2.3125
1181.1,1.1466666665,,0.3716666665,0.8333333335,0.3333333335,0.1666666665,0,0.8333333335
1181.1,7.95,1.095,2.195,1,1.5,1.5,1.5,1.5
1181.1,2.922079365,0.5675,0.8500811688,0.3932178932,1.4295815296,1.2944444444,0.4839826842,1.4841269842
1181.1,8.91,1.81,2.575,1.5,3,3,2,3
1181.1,9.95972222216667,2.16041666666667,2.75333333333333,1.375,2.86111111116667,2.84722222216667,2.38888888883333,2.90277777783333
1181.1,8.12583333333333,,2.17833333333333,0,0.0833333333333333,0.416666666666667,0.833333333333333,0.833333333333333
1181.1,4.13,0.305,0.631111111,1,2,1.77777777766667,1.888888889,2.22222222233333
1181.1,3.00616441858333,0.5075,0.7972668145,0.281944444416667,0.734722222166667,0.445833333333333,0.172916666666667,0.784722222166667
1181.1,4.21,3.105,1.305,1.5,1.5,1.5,1.5,2
1181.1,8.4,1.5,2.10166666666667,1.16666666666667,2.5,2.33333333333333,1.66666666666667,2.5
1181.1,7.319220191625,1.279396296875,2.100876437625,1.018498267375,2.244887109875,2.214752082875,1.488060915,2.30382104375
1181.1,10.78453125,1.851197916625,3.3621875,1.46875,3.171875,2.567708333375,1.994791666625,3.171875
1181.1,2.85824175823077,0.5,0.762472527461538,0.598901098923077,0.747252747230769,0.802197802230769,0.410256410230769,1.20879120876923
1181.1,5.81001056794444,1.08089884588235,1.458914277,0.900837749058823,2.19643144205882,2.180472285,1.21386738905882,2.31285301064706
1181.1,0.974824561333333,,0.222543859666667,0,0.0175438596666667,0.0350877193333333,0.122807017666667,0.122807017666667
1181.2,8.075,3.115,1.95666666666667,0.333333333333333,0,0.333333333333333,0,0.333333333333333
1181.2,2.1202092525,,0.659420138875,0.364236111125,0.7977430555,0.825173611125,0.521875,0.9727430555
1181.2,11.0292857142857,2.044,2.724,1.72222222222222,2.83333333333333,3.16666666666667,2.33333333333333,3.27777777777778
1181.2,2.84833333333333,0.9235,0.565333333333333,0.2,0.566666666666667,1.6,2.23333333333333,2.23333333333333
1181.2,4.798632445,1.19995101875,1.293515674,0.347360703875,1.89431818175,1.498203812375,0.587756598125,1.91931818175
1181.2,1.49833333325,0.37,0.43083333325,0,0.08333333325,0.16666666675,0.41666666675,0.41666666675
1181.2,10.269866666,2.2912666666,2.9424666668,1.6333333332,2.2666666668,3.1666666666,2.1,3.1666666666
1181.2,11.47472222,3.7927777775,3.7933333335,2.1666666665,2.666666667,3.25,2.722222222,3.25
1181.2,8.92,4.05,2.15,,,,,
1181.2,14.33,4.34,4.52,2,3,3,3,3
1181.2,9.715,1.165,2.565,0,0.5,1.5,0,1.5
