"","Elevation","Display_size","Flower_diameter","Floral_depth","Petal_width","Petal_length","Stylus_length","Filament_length","Nectar_depth","Nectar_width","Stylus_position","Filament_position","Plant_height","Flower_inclination","Number_inflorescense","Number_flowers_per_inflo"
"210","1860.1",16.39,16.39,3.57894736842105,8.00631578947368,7.35184210526316,2.54710526315789,4.14078947368421,0,0,2.54710526315789,4.14078947368421,90.8947368421053,153.947368421053,1.44736842105263,1.21052631578947
"211","1860.1",9.4062962962963,9.4062962962963,1.48740740740741,4.10351851851852,3.88166666666667,2.51537037037037,2.8587037037037,0,0,2.51537037037037,2.8587037037037,55.7241379310345,147.758620689655,1.1551724137931,1.05172413793103
"212","1860.1",16.5276119402985,16.5276119402985,8.07283582089552,8.00268656716418,9.69417910447761,3.73731343283582,4.97492537313433,0,0,3.73731343283582,4.97492537313433,341.727272727273,159.787878787879,2.27272727272727,1.08695652173913
"213","1860.1",17.643125,17.643125,11.1004166666667,10.9466666666667,12.378125,5.50291666666667,6.525625,0,0,5.50291666666667,6.525625,133.666666666667,159.411764705882,1.11764705882353,1.03921568627451
"214","1860.1",38.758,14.104,15.165,5.647,16.263,8.098,9.885,10.284,3.941,-2.186,-0.399,447.5,97.5,1,11.8
"215","1860.1",20.6976470588235,1.99676470588235,12.6611764705882,1.77058823529412,12.6611764705882,9.55970588235294,8.22705882352941,4.065,0.456764705882353,5.49470588235294,4.16205882352941,193.470588235294,154.117647058824,1.26470588235294,22.1851851851852
"216","1860.1",13.0071428571429,10.31,14.0852380952381,10.31,14.12,9.01523809523809,6.39761904761905,11.7747619047619,6.56333333333333,-2.75952380952381,-5.37714285714286,75.5238095238095,13.3333333333333,1.19047619047619,1
"217","1860.1",23.0608196721311,4.32688524590164,14.4490163934426,2.7016393442623,14.8624590163934,12.1473770491803,12.2647540983607,9.66786885245902,1.70770491803279,2.47950819672131,2.59688524590164,145.935483870968,158.467741935484,1.16393442622951,27.0819672131148
"218","1860.1",17.8246774193548,5.20596774193548,7.62709677419355,3.34177419354839,8.49467741935484,5.04177419354839,5.39274193548387,4.94258064516129,1.6358064516129,0.0991935483870968,0.450161290322581,101.734375,158.875,1,14.609375
"219","1860.2",17.9437209302326,3.56511627906977,1.54093023255814,1.10232558139535,1.28325581395349,1.61,1.55744186046512,1.44744186046512,0.694418604651163,0.162558139534884,0.11,103.829268292683,157.19512195122,8.80487804878049,7.24390243902439
"220","1860.2",29.5620833333333,29.5620833333333,15.9275,10.6647916666667,19.421875,9.38270833333333,10.0910416666667,0,0,9.38270833333333,10.0910416666667,131.536585365854,164.390243902439,1,1
"221","1860.2",30.2155,3.71025,3.64725,1.78175,3.60375,5.491375,2.92025,2.053,2.904,3.438375,0.86725,111.4,64.375,1.05,15.45
"222","1860.2",16.2106451612903,14.4803225806452,18.3738709677419,6.47129032258065,18.7061290322581,16.3046666666667,7.25333333333333,14.2822580645161,8.13466666666667,2.048,-7.00333333333333,158.612903225806,77.5806451612903,1.2258064516129,1
"223","1860.2",19.985,10.866,5.972,4.099,7.253,6.15777777777778,5.963,0,0,6.15777777777778,5.963,172,173,1,6.5
"224","1860.2",17.6788461538462,2.79076923076923,0.7332,1.05730769230769,1.25961538461538,1.19722222222222,1.39588235294118,0,0,1.19722222222222,1.39588235294118,336.125,163.541666666667,6.20833333333333,14.0416666666667
"225","1860.2",25.0923529411765,25.0923529411765,11.0723529411765,13.4761764705882,13.0094117647059,7.35294117647059,8.15647058823529,0,0,7.35294117647059,8.15647058823529,187.625,147.291666666667,1.29166666666667,1
"226","1860.2",20.294,2.9365,17.7975,2.959,17.7975,13.4895,9.115,5.486,0.538,8.0035,3.629,198.9,167,1,35.2
"227","1860.2",27.1592957746479,1.90887323943662,15.5398591549296,1.25,15.7114084507042,12.5267605633803,9.97070422535211,5.35464788732394,0.956619718309859,7.17211267605634,4.61605633802817,221.056338028169,167.154929577465,1.01408450704225,27.1830985915493
