"","Transect","Display_size","Flower_diameter","Floral_depth","Petal_width","Petal_length","Stylus_length","Filament_length","Nectar_depth","Nectar_width","Stylus_position","Filament_position","Plant_height","Flower_inclination","Number_inflorescense","Number_flowers_per_inflo","color_s","color_m","color_l","color_lum"
"1","1181.1",36.3871428571429,0.872857142857143,2.63285714285714,0.515714285714286,0.932857142857143,0.857142857142857,0.965714285714286,0.965714285714286,0.447142857142857,-0.108571428571429,6.4405965215082e-18,305.142857142857,162.857142857143,5,46.7142857142857,0.485211979840383,0.804393125170275,0.77678913995693,0.247113820115863
"2","1181.1",11.497,2.994,1.569,0.942,0.995,1.571,1.509,1.167,0.465,0.404,0.342,111.3,150,14.7,8.4,0.640577876023189,0.587173721466553,0.690879893882018,0.165409136815398
"3","1181.1",14.4,1.18285714285714,1.77142857142857,0.45,1.86571428571429,2.16142857142857,1.63142857142857,1.26714285714286,0.848571428571429,0.894285714285714,0.364285714285714,79.2857142857143,163.571428571429,6.42857142857143,1,0.581336527272474,0.861917460954227,0.823384891908659,0.292061683833499
"4","1181.1",9.515,3.314,3.738,1.928,3.649,3.8445,2.689,1.073,3.314,2.7715,1.616,64.4,53.5,1.2,5.3,0.589526695473504,0.798281334089324,0.747223496539625,0.221311074000003
"5","1181.1",13.79,13.79,14.6528571428571,5.96714285714286,14.6957142857143,12.6814285714286,3.89428571428571,11.7614285714286,6.093,0.92,-7.86714285714286,194.714285714286,96.4285714285714,1.28571428571429,1,0.452503608275362,0.698097746844537,0.393617090226803,0.055682991052288
"6","1181.1",39.1257142857143,3.70857142857143,16.6614285714286,0.658571428571429,16.65,19.4142857142857,17.4285714285714,12.0585714285714,1.30857142857143,7.35571428571429,5.37,258.857142857143,172.857142857143,1,27.1428571428571,0.366130978207888,0.71189467138938,0.50761423130941,0.0846268732318982
"7","1181.1",16.7885714285714,2.82571428571429,0.834285714285714,0.801428571428571,1.23714285714286,1.03857142857143,0.925714285714286,0.698571428571429,0.341428571428571,0.34,0.227142857142857,242.142857142857,168.571428571429,32.4285714285714,9.57142857142857,0.524102699454467,0.743882614057808,0.780666423241729,0.235207671309241
"8","1181.1",23.8514285714286,17.6728571428571,10.7428571428571,3.57285714285714,9.88857142857143,7.45428571428571,9.18142857142857,0,0,7.45428571428571,9.18142857142857,260.857142857143,152.857142857143,1.85714285714286,1,0.593996612517988,0.409499107819871,0.595790834667849,0.119612116552552
"9","1181.1",24.785,1.108,15.725,0.277,15.725,11.09,9.682,4.955,0.531,6.135,4.727,234.2,169.5,1,25.4,0.334741550631428,0.258316790630206,0.580528509155568,0.11019681188024
"10","1181.1",42.827,0.847,3.061,0.45,3.061,2.557,2.719,2.499,0.799,0.058,0.22,322.3,172.5,1,27.7,0.361734531295044,0.845209804095979,0.8369396145845,0.306059801099507
"11","1181.1",20.8285714285714,11.6285714285714,12.7414285714286,8.34285714285714,10.9,12.3885714285714,12.3085714285714,7.23285714285714,1.88857142857143,5.15571428571429,5.07571428571429,88.4285714285714,95,2.14285714285714,1.28571428571429,0.21282921506318,0.22299054287099,0.727590619720635,0.186404335163698
"12","1181.1",20.2314285714286,20.2314285714286,5.81142857142857,7.52857142857143,9.71857142857143,6.13142857142857,6.83,0,0,6.13142857142857,6.83,122.285714285714,170.714285714286,1,1,0.442674172891459,0.845824438689237,0.8433900111103,0.3202403790163
"13","1181.1",46.521,2.551,1.026,0.952,1.046,1.039,NA,0,0,1.039,NA,420.6,180,1.9,119.6,0.410016997322636,0.783816631918844,0.804895266804614,0.26109280371279
"14","1181.1",10.5317647058824,3.64058823529412,4.18941176470588,1.39470588235294,2.79470588235294,4.88529411764706,7.16941176470588,3.88470588235294,0.815294117647059,1.00058823529412,3.28470588235294,284,158.823529411765,1.52941176470588,19.3529411764706,0.451824195444068,0.561842863484176,0.603770615528507,0.133054804151102
"15","1181.1",20.1485714285714,2.98571428571429,3.45285714285714,0.882857142857143,3.31142857142857,4.07428571428571,10.1457142857143,2.07714285714286,0.957142857142857,1.99714285714286,8.06857142857143,333.428571428571,142.142857142857,1.42857142857143,53.1428571428571,0.177917286829628,0.408524884513186,0.463051860098247,0.0702320402128831
"16","1181.1",11.528,4.508,4.075,1.798,3.503,2.61,3.021,3.019,0.701,-0.409,0.00199999999999999,51,117.5,1.1,3.3,0.54682813468658,0.715957595943725,0.477561057179035,0.0739190935883269
"17","1181.1",9.408,9.408,1.874,4.322,3.776,2.538,3.052,0,0,2.538,3.052,56.9,157,1.1,1.2,0.790639787516732,0.610399334936475,0.804542526802953,0.263942438238476
"18","1181.1",17.77,4.24285714285714,10.85,2.31571428571429,8.56285714285714,10.8928571428571,9.84285714285714,7.85571428571429,2.43857142857143,3.03714285714286,1.98714285714286,102.428571428571,141.285714285714,4.85714285714286,1,0.248499325323095,0.627245053440919,0.386871600384424,0.0531978118108195
"19","1181.1",17.254,17.254,10.601,9.719,12.161,4.819,6.452,0,0,4.819,6.452,223,155.5,1.7,1.6,0.790809573154082,0.561225805891041,0.823724219632586,0.290485856408723
"20","1181.1",121.045714285714,1.15714285714286,1.06428571428571,0.74,0.97,1.5,NA,0,0,1.5,NA,377.285714285714,155.714285714286,7.71428571428571,25.1428571428571,0.525283231140907,0.519466664968972,0.521160803903979,0.088608112408113
"21","1181.1",34.5342857142857,3.23,11.9885714285714,1.84428571428571,9.09857142857143,9.72142857142857,11.1942857142857,5.78571428571429,1.96714285714286,3.93571428571429,5.40857142857143,534.142857142857,180,39.4285714285714,1.14285714285714,0.283337707952017,0.801918899790172,0.6567010981459,0.141746383010245
