"","Elevation","Body_length","Proboscis_length","Head_diameter","Pollen_head","Pollen_thorax","Pollen_legs","Pollen_abdomen","Pollen_max"
"5638","2587.1",0.528710163478376,0.28161007225094,0.620984158308582,1,1,1,1,1
"5639","2587.1",0.528710163478376,0.28161007225094,0.620984158308582,1,1,1,1,1
"5640","2587.1",0.528710163478376,0.28161007225094,0.620984158308582,1,1,1,1,1
"5641","2587.1",0.528710163478376,0.28161007225094,0.620984158308582,1,1,1,1,1
"5642","2587.1",0.303792817927912,0.159918137582237,0.413795666246879,0.601804436224012,0.744197005205876,0.742481466521882,0.654187903127572,0.747870669357307
"5643","2587.1",0.303792817927912,0.159918137582237,0.413795666246879,0.601804436224012,0.744197005205876,0.742481466521882,0.654187903127572,0.747870669357307
"5644","2587.1",0.303792817927912,0.159918137582237,0.413795666246879,0.601804436224012,0.744197005205876,0.742481466521882,0.654187903127572,0.747870669357307
"5645","2587.1",0.303792817927912,0.159918137582237,0.413795666246879,0.601804436224012,0.744197005205876,0.742481466521882,0.654187903127572,0.747870669357307
"5646","2587.1",0.303792817927912,0.159918137582237,0.413795666246879,0.601804436224012,0.744197005205876,0.742481466521882,0.654187903127572,0.747870669357307
"5647","2587.1",0.303792817927912,0.159918137582237,0.413795666246879,0.601804436224012,0.744197005205876,0.742481466521882,0.654187903127572,0.747870669357307
"5648","2587.1",0.303792817927912,0.159918137582237,0.413795666246879,0.601804436224012,0.744197005205876,0.742481466521882,0.654187903127572,0.747870669357307
"5649","2587.1",0.303792817927912,0.159918137582237,0.413795666246879,0.601804436224012,0.744197005205876,0.742481466521882,0.654187903127572,0.747870669357307
"5650","2587.1",0.303792817927912,0.159918137582237,0.413795666246879,0.601804436224012,0.744197005205876,0.742481466521882,0.654187903127572,0.747870669357307
"5651","2587.1",0.303792817927912,0.159918137582237,0.413795666246879,0.601804436224012,0.744197005205876,0.742481466521882,0.654187903127572,0.747870669357307
"5652","2587.1",0.303792817927912,0.159918137582237,0.413795666246879,0.601804436224012,0.744197005205876,0.742481466521882,0.654187903127572,0.747870669357307
"5653","2587.1",0.0340921961214849,0.0293996710526316,0,0.183881532809926,0.321885159103725,0.324429488187936,0.384627899817768,0.426212613681888
"5654","2587.1",0.79535472519364,0.23117190956297,1,0.898068561438034,0.953794342138604,0.947359614923973,0.875231378896189,0.953794342138604
"5655","2587.2",0.500212407245022,0.471747292289768,0.440689525576661,0.551533315795323,0.774619332980793,0.679365373453524,0.578032090028011,0.722405412336054
"5656","2587.2",0.500212407245022,0.471747292289768,0.440689525576661,0.551533315795323,0.774619332980793,0.679365373453524,0.578032090028011,0.722405412336054
"5657","2587.2",0.500212407245022,0.471747292289768,0.440689525576661,0.551533315795323,0.774619332980793,0.679365373453524,0.578032090028011,0.722405412336054
"5658","2587.2",0.500212407245022,0.471747292289768,0.440689525576661,0.551533315795323,0.774619332980793,0.679365373453524,0.578032090028011,0.722405412336054
"5659","2587.2",0.500212407245022,0.471747292289768,0.440689525576661,0.551533315795323,0.774619332980793,0.679365373453524,0.578032090028011,0.722405412336054
"5660","2587.2",0.500212407245022,0.471747292289768,0.440689525576661,0.551533315795323,0.774619332980793,0.679365373453524,0.578032090028011,0.722405412336054
"5661","2587.2",0.500212407245022,0.471747292289768,0.440689525576661,0.551533315795323,0.774619332980793,0.679365373453524,0.578032090028011,0.722405412336054
"5662","2587.2",0.500212407245022,0.471747292289768,0.440689525576661,0.551533315795323,0.774619332980793,0.679365373453524,0.578032090028011,0.722405412336054
"5663","2587.2",0.500212407245022,0.471747292289768,0.440689525576661,0.551533315795323,0.774619332980793,0.679365373453524,0.578032090028011,0.722405412336054
"5664","2587.2",0.500212407245022,0.471747292289768,0.440689525576661,0.551533315795323,0.774619332980793,0.679365373453524,0.578032090028011,0.722405412336054
"5665","2587.2",0.500212407245022,0.471747292289768,0.440689525576661,0.551533315795323,0.774619332980793,0.679365373453524,0.578032090028011,0.722405412336054
"5666","2587.2",0.500212407245022,0.471747292289768,0.440689525576661,0.551533315795323,0.774619332980793,0.679365373453524,0.578032090028011,0.722405412336054
"5667","2587.2",0.500212407245022,0.471747292289768,0.440689525576661,0.551533315795323,0.774619332980793,0.679365373453524,0.578032090028011,0.722405412336054
"5668","2587.2",0.500212407245022,0.471747292289768,0.440689525576661,0.551533315795323,0.774619332980793,0.679365373453524,0.578032090028011,0.722405412336054
"5669","2587.2",0.500212407245022,0.471747292289768,0.440689525576661,0.551533315795323,0.774619332980793,0.679365373453524,0.578032090028011,0.722405412336054
