Hypervolume Variant,H.F-stat,H.R2,H.p-val,M.F-stat,M.R2,M.p-val,N.F-stat,N.R2,N.p-val,L.F-stat,L.R2,L.p-val
floral_all_traits,3.59743628135745,0.101472516732043,0.0710756238980792,4.27050032617005,0.124493263758363,0.0507492507449441,1.43879933002904,0.0187210668878788,0.243093254648837,5.32486881816388,0.158275922455261,0.0308113963457037
floral_display_no_color,4.71296535886098,0.138994877917189,0.0410007012974285,5.39103260871371,0.160309130051447,0.0298919614697546,2.06524578678833,0.0442649036800259,0.164761649040857,7.19795611078577,0.212273629265996,0.0135896492173177
floral_morphology,1.57197196248138,0.0242649178181515,0.223080918959932,1.11230342165534,0.00485903198856918,0.303027237750758,0.0543392126506164,-0.0428786724567536,0.817832946759168,0.0126463982350581,-0.0448539255072986,0.911481500835422
floral_nectary,2.35727750983848,0.0557236952812253,0.138957213160437,1.97853560232631,0.0408088141225511,0.173514250016197,0.0100580876009802,-0.0449767969016259,0.921022421161514,0.0748724304352126,-0.0419086258586612,0.786922813251226
floral_pollen,2.84502331381865,0.0742612832563718,0.105787860274302,4.50810591833163,0.132340874490984,0.0452230419899968,0.706300554653762,-0.0129347114312746,0.409715935989825,3.63196247640488,0.102682831204505,0.0698301570568628
floral_color_only,9.50213755388968,0.26989081421365,0.0054424643388924,10.6224861550118,0.294964832210788,0.00359297296283949,7.02160806572986,0.207487057646556,0.0146318875376678,6.8857511295042,0.203759670403462,0.0154954627036097
floral_all_traits_weighted,1.28039240582118,0.0120441443139537,0.270010094162667,2.01432793762598,0.0422384478241725,0.169834407256447,1.53214056271589,0.0226133513565276,0.228839336200324,6.13913859779222,0.182633117212601,0.0213805181208333
